id_municipality;name_municipality;id_department
15804;TIBANA;15
15276;FLORESTA;15
15778;SUTATENZA;15
15632;SABOYA;15
15212;COPER;15
15244;EL COCUY;15
15542;PESCA;15
15248;EL ESPINO;15
15223;CUBARA;15
15104;BOYACA;15
15518;PAJARITO;15
15442;MARIPI;15
15740;SIACHOQUE;15
15097;BOAVITA;15
15380;LA CAPILLA;15
15185;CHITARAQUE;15
15367;JENESANO;15
15820;TOPAGA;15
15842;UMBITA;15
15514;PAEZ;15
15660;SAN EDUARDO;15
15317;GUACAMAYAS;15
15537;PAZ DE RIO;15
15109;BUENAVISTA;15
15790;TASCO;15
15114;BUSBANZA;15
15897;ZETAQUIRA;15
15272;FIRAVITOBA;15
15500;OICATA;15
15600;RAQUIRA;15
15822;TOTA;15
15425;MACANAL;15
15835;TURMEQUE;15
15162;CERINZA;15
15723;SATIVASUR;15
15332;GUICAN;15
15550;PISBA;15
15764;SORACA;15
15189;CIENEGA;15
15224;CUCAITA;15
15761;SOMONDOCO;15
15325;GUAYATA;15
15808;TINJACA;15
15621;RONDON;15
15720;SATIVANORTE;15
15664;SAN JOSE DE PARE;15
15236;CHIVOR;15
15106;BRICENO;15
15090;BERBEO;15
15774;SUSACON;15
15476;MOTAVITA;15
15215;CORRALES;15
15464;MONGUA;15
15798;TENZA;15
15232;CHIQUIZA;15
15667;SAN LUIS DE GACENO;15
15816;TOGUI;15
15401;LA VICTORIA;15
15762;SORA;15
15696;SANTA SOFIA;15
15180;CHISCAS;15
15839;TUTAZA;15
15832;TUNUNGUA;15
15187;CHIVATA;15
15172;CHINAVITA;15
15022;ALMEIDA;15
15368;JERICO;15
15494;NUEVO COLON;15
